date,business_id,sector,production_units,operating_hours,machine_hours,electricity_kwh,peak_load_kw,water_litres,fuel_litres,revenue_inr,temperature_c,maintenance_hours,is_anomaly,energy_cost_inr,energy_intensity,estimated_co2e_kg,water_intensity
2025-01-01,MSME_001,Packaging,942.4,8.26,7.52,1629.9,253.74,954.2,10.44,119269.86,22.84,0.0,0,13039.2,1.7295203735144313,1140.93,1.012521222410866
2025-01-02,MSME_001,Packaging,794.12,8.12,5.9,1421.93,203.74,758.02,18.84,70307.57,19.82,0.0,0,11375.44,1.7905732131164056,995.351,0.9545408754344431
2025-01-03,MSME_001,Packaging,1058.72,8.29,7.91,1881.11,315.58,1048.38,11.12,87381.13,22.13,0.0,0,15048.88,1.776777618256007,1316.7769999999998,0.9902334894967508
2025-01-04,MSME_001,Packaging,601.61,5.78,4.73,1030.21,247.71,622.27,13.79,64970.02,20.71,0.0,0,8241.68,1.712421668522797,721.1469999999999,1.0343411844882897
2025-01-05,MSME_001,Packaging,742.02,5.53,4.31,1223.14,278.45,741.03,11.34,72213.66,22.78,0.0,0,9785.12,1.6483922266246194,856.198,0.9986658041562222
2025-01-06,MSME_001,Packaging,1043.31,8.15,7.11,1762.63,252.58,1102.82,19.44,100464.26,21.07,0.0,0,14101.04,1.689459508679108,1233.841,1.0570396143044734
2025-01-07,MSME_001,Packaging,913.72,8.56,7.35,1560.73,250.84,978.26,16.23,160924.06,20.72,0.0,0,12485.84,1.7081053276714968,1092.511,1.0706343299916823
2025-01-08,MSME_001,Packaging,1063.56,7.45,5.54,1758.96,278.54,982.44,19.86,115061.81,20.6,0.0,0,14071.68,1.6538418142841025,1231.272,0.9237278573846328
2025-01-09,MSME_001,Packaging,976.67,8.3,7.58,1692.82,274.11,1053.32,16.13,114467.83,21.82,0.0,0,13542.56,1.7332568830823103,1184.974,1.0784809608158334
2025-01-10,MSME_001,Packaging,860.5,8.55,7.92,1562.41,224.73,915.92,18.04,139955.91,23.73,0.0,0,12499.28,1.8157001743172576,1093.687,1.0644044160371877
2025-01-11,MSME_001,Packaging,656.06,6.0,5.15,1087.95,244.16,674.17,15.34,104417.78,21.24,0.0,0,8703.6,1.658308691278237,761.5649999999999,1.0276041825442794
2025-01-12,MSME_001,Packaging,617.44,5.6,4.11,1208.91,281.87,579.61,8.15,96414.49,18.34,0.0,0,9671.28,1.9579392329619072,846.237,0.9387308888313034
2025-01-13,MSME_001,Packaging,933.92,7.45,6.84,1702.45,267.45,1006.54,19.05,109853.01,20.76,0.0,0,13619.6,1.8229077437039576,1191.715,1.0777582662326537
2025-01-14,MSME_001,Packaging,882.15,8.07,6.64,1549.28,256.43,828.34,11.4,127841.45,21.11,0.0,0,12394.24,1.7562546052258687,1084.4959999999999,0.939001303633169
